Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,, 
1972,,,,Hot Shots,,,,,
1972,,,,Hot Shots,,,,,
1972,,,,Hot Shots,,,,,
1972,,,,Hot Shots,,,,,
1973,6984,,Sidecar,Revvers,,,,,
1973,6985,,Draggin' Dagger,Revvers,,,,,
1973,6985,,Draggin' Dagger,Revvers,,,,,
1973,6985,,Draggin' Dagger,Revvers,,,,,
1973,6985,,Draggin' Dagger,Revvers,,,,,
1973,6985,,Draggin' Dagger,Revvers,,,,,
1973,6985,,Draggin' Dagger,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6986,,Buzzin' Bomb,Revvers,,,,,
1973,6987,,Stingin' Thing,Revvers,,,,,
1973,6987,,Stingin' Thing,Revvers,,,,,
1973,6987,,Stingin' Thing,Revvers,,,,,
1973,6987,,Stingin' Thing,Revvers,,,,,
1973,6987,,Stingin' Thing,Revvers,,,,,
1973,6987,,Stingin' Thing,Revvers,,,,,
1973,6988,,Haulin' Horses,Revvers,,,,,
1973,6988,,Haulin' Horses,Revvers,,,,,
1973,6988,,Haulin' Horses,Revvers,,,,,
1973,6988,,Haulin' Horses,Revvers,,,,,
1973,6988,,Haulin' Horses,Revvers,,,,,
1973,6993,,Camper,Revvers,,,,,
1973,6996,,Burnin' Box,Revvers,,,,,
1973,6996,,Burnin' Box,Revvers,,,,,
1973,6996,,Burnin' Box,Revvers,,,,,
1973,6996,,Burnin' Box,Revvers,,,,,
1973,6997,,Jettin' Vette,Revvers,,,,,
1973,6997,,Jettin' Vette,Revvers,,,,,
1973,6997,,Jettin' Vette,Revvers,,,,,
1973,6997,,Jettin' Vette,Revvers,,,,,
1973,6998,,Passin' Pride,Revvers,,,,,
1973,6998,,Passin' Pride,Revvers,,,,,
1973,6998,,Passin' Pride,Revvers,,,,,
1973,6998,,Passin' Pride,Revvers,,,,,
1973,6999,,Towin' Terror,Revvers,,,,,
1973,6999,,Towin' Terror,Revvers,,,,,
1973,6999,,Towin' Terror,Revvers,,,,,
1976,9205,,Super Van,Super Chromes,,,,,
1976,9205,,Super Van,Super Chromes,,,,,
1976,9203,,Mustang Stocker,Super Chromes,,,,,
1976,9203,,Mustang Stocker,Super Chromes,,,,,
1976,9211,,Large Charger,Super Chromes,,,,,
1976,9201,,Gremlin Grinder,Super Chromes,,,,,
1976,9208,,Steam Roller,Super Chromes,,,,,
1976,9208,,Steam Roller,Super Chromes,,,,,
1976,9208,,Steam Roller,Super Chromes,,,,,
1976,9210,,Alive '55,Super Chromes,,,,,
1976,9210,,Alive '55,Super Chromes,,,,,
1976,9209,,Mighty Maverick,Super Chromes,,,,,
1976,9212,,Heavy Chevy,Super Chromes,,,,,
1976,9212,,Heavy Chevy,Super Chromes,,,,,
1976,9204,,P-917,Super Chromes,,,,,
1976,9207,,Prowler,Super Chromes,,,,,
1976,9206,,P-911,Super Chromes,,,,,
1976,9206,,P-911,Super Chromes,,,,,
1976,9202,,Chevy Monza 2+2,Super Chromes,,,,,
1976,9505,,Twin Mill II,Super Chromes,,,,,
1976,9505,,Corvette Stingray,Super Chromes,,,,,
1976,9505,,Formula 5000,Super Chromes,,,,,
1976,9505,,Neet Streeter,Super Chromes,,,,,
1976,9505,,Rock Buster,Super Chromes,,,,,
1976,9505,,Poison Pinto,Super Chromes,,,,,
1976,9205,,Super Van,Super Chromes,,,,,
1976,9203,,Mustang Stocker,Super Chromes,,,,,
1976,9211,,Large Charge,Super Chromes,,,,,
1976,9201,,Gremlin Grinder,Super Chromes,,,,,
1976,9208,,Steam Roller,Super Chromes,,,,,
1976,9208,,Steam Roller,Super Chromes,,,,,
1976,9210,,Alive '55,Super Chromes,,,,,
1976,9209,,Mighty Maverick,Super Chromes,,,,,
1976,9212,,Heavy Chevy,Super Chromes,,,,,
1976,9204,,P-917,Super Chromes,,,,,
1976,9207,,Prowler,Super Chromes,,,,,
1976,9206,,P-911,Super Chromes,,,,,
1976,9202,,Chevy Monza 2+2,Super Chromes,,,,,
1976,9505,,Twin Mill II,Super Chromes,,,,,
1976,9505,,Corvette Stingray,Super Chromes,,,,,
1976,9505,,Formula 5000,Super Chromes,,,,,
1976,9505,,Neet Streeter,Super Chromes,,,,,
1976,9505,,Rock Buster,Super Chromes,,,,,
1976,9505,,Poison Pinto,Super Chromes,,,,,
1976,9207,,Prowler,Super Chromes,,,,,
1976,9205,,Super Van,Super Chromes,,,,,
1976,9205,,Super Van,Super Chromes,,,,,
1976,9205,,Super Van,Super Chromes,,,,,
1976,9203,,Mustang Stocker,Super Chromes,,,,,
